Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.071715267772392,76.96375227271976,111.36417280397423,4.349526274092825e-4,4.349526274092825e-4,2.950000000000008e-2,"cx0_1: 1.129e-2 "
1,5.020814260179724,89.80838252115679,99.8334147869715,2.9691334559277087e-4,2.9691334559277087e-4,1.5900000000000025e-2,"cx1_4: 1.380e-2 , cx1_2: 1.423e-2 , cx1_0: 1.129e-2 "
2,4.818412061232415,67.94079706061103,66.65847424478575,9.259869860711993e-4,9.259869860711993e-4,1.770000000000005e-2,"cx2_3: 1.993e-2 , cx2_1: 1.423e-2 "
3,4.894769284879892,96.98847409637783,79.63072166513325,3.523491725605974e-4,3.523491725605974e-4,1.0599999999999943e-2,"cx3_5: 1.633e-2 , cx3_2: 1.993e-2 "
4,5.085002232626686,63.707596830239275,70.85109692840793,6.711927182117222e-4,6.711927182117222e-4,2.0999999999999908e-2,"cx4_7: 1.404e-2 , cx4_1: 1.380e-2 "
5,4.803825893783489,143.29200771919,31.0330190692917,3.9967543266643946e-4,3.9967543266643946e-4,8.760000000000001e-2,"cx5_8: 1.424e-2 , cx5_3: 1.633e-2 "
6,5.201557905412777,38.526386777376175,53.26880356231136,3.968637876411273e-4,3.968637876411273e-4,1.540000000000008e-2,"cx6_7: 9.377e-3 "
7,5.142377257649445,93.56328981754892,37.30301458995145,4.02023174701833e-4,4.02023174701833e-4,1.980000000000004e-2,"cx7_10: 9.161e-3 , cx7_6: 9.377e-3 , cx7_4: 1.404e-2 "
8,5.068798976174808,69.44542663954176,68.19533620255348,3.8270782192613526e-4,3.8270782192613526e-4,1.859999999999995e-2,"cx8_11: 8.839e-3 , cx8_9: 9.210e-3 , cx8_5: 1.424e-2 "
9,5.170238482293785,55.8398865043661,84.81935233352532,2.87895565163474e-4,2.87895565163474e-4,8.599999999999941e-3,"cx9_8: 9.210e-3 "
10,4.9193135831896555,67.52099674182594,81.4709735721838,3.478812947863071e-4,3.478812947863071e-4,7.600000000000051e-3,"cx10_12: 1.310e-2 , cx10_7: 9.161e-3 "
11,4.959295097417155,76.99504889290003,75.27896672037858,3.0966268771949414e-4,3.0966268771949414e-4,2.100000000000002e-2,"cx11_8: 8.839e-3 , cx11_14: 1.040e-2 "
12,5.042163426864946,17.977586136949185,78.09761527428364,3.725873590824027e-4,3.725873590824027e-4,1.639999999999997e-2,"cx12_15: 1.024e-2 , cx12_10: 1.310e-2 , cx12_13: 1.259e-2 "
13,5.113720639588591,57.04174141584812,91.96276846385152,3.2396598026013734e-4,3.2396598026013734e-4,8.299999999999974e-3,"cx13_12: 1.259e-2 , cx13_14: 1.088e-2 "
14,4.898872438216649,33.63088494632949,74.90797475180679,4.555393857406401e-4,4.555393857406401e-4,1.1300000000000088e-2,"cx14_16: 1.572e-2 , cx14_13: 1.088e-2 , cx14_11: 1.040e-2 "
15,4.849704829165613,61.147033782872384,64.08634111249597,4.3559451943477024e-4,4.3559451943477024e-4,2.1600000000000064e-2,"cx15_12: 1.024e-2 , cx15_18: 1.836e-2 "
16,5.020763999757115,103.23663659176285,73.39228588498251,1.0512242137659354e-3,1.0512242137659354e-3,5.049999999999999e-2,"cx16_14: 1.572e-2 , cx16_19: 1.060e-2 "
17,5.050692799084032,67.60865353868228,86.56468952847693,2.0454701861135566e-3,2.0454701861135566e-3,1.869999999999994e-2,"cx17_18: 2.794e-2 "
18,4.936702890958646,70.29749719487616,84.85174866382046,4.182849100217955e-4,4.182849100217955e-4,1.8799999999999928e-2,"cx18_17: 2.794e-2 , cx18_15: 1.836e-2 , cx18_21: 1.418e-2 "
19,4.76281246294691,55.724881192940245,26.956543029454473,3.85885468405102e-4,3.85885468405102e-4,8.599999999999941e-3,"cx19_22: 1.125e-2 , cx19_20: 1.375e-2 , cx19_16: 1.060e-2 "
20,5.038633731404927,80.13083852880001,107.16480500890776,4.8114159750862237e-4,4.8114159750862237e-4,3.290000000000004e-2,"cx20_19: 1.375e-2 "
21,4.834446952006553,88.85491561001055,29.884165212084554,5.327902811694034e-4,5.327902811694034e-4,4.249999999999998e-2,"cx21_23: 1.863e-2 , cx21_18: 1.418e-2 "
22,4.989607853142252,110.55759973939979,46.33890516758409,3.0193510783532864e-4,3.0193510783532864e-4,1.4100000000000001e-2,"cx22_19: 1.125e-2 , cx22_25: 8.815e-3 "
23,5.126327066905019,99.63158080100978,119.37218739573314,3.269371179844451e-4,3.269371179844451e-4,1.1500000000000066e-2,"cx23_24: 2.050e-2 , cx23_21: 1.863e-2 "
24,4.9786963897526215,116.88992772336628,176.70760475709628,3.195340069667682e-4,3.195340069667682e-4,8.499999999999952e-3,"cx24_25: 8.683e-3 , cx24_23: 2.050e-2 "
25,4.85203352275827,108.3289851271127,83.07009119346014,2.557346848790112e-4,2.557346848790112e-4,3.249999999999997e-2,"cx25_22: 8.815e-3 , cx25_26: 8.773e-3 , cx25_24: 8.683e-3 "
26,4.958285422651913,117.93236338539852,137.455516711668,2.5675865252090254e-4,2.5675865252090254e-4,1.0299999999999976e-2,"cx26_25: 8.773e-3 "
